D,0.0059,97,Drill,,,,I,0.02,0.005
D,0.0063,96,Drill,,,,I,0.02,0.005
D,0.0067,95,Drill,,,,I,0.03,0.0075
D,0.0071,94,Drill,,,,I,0.03,0.0125
D,0.0075,93,Drill,,,,I,0.03,0.0125
D,0.0079,92,Drill,,,,I,0.03,0.0125
D,0.0083,91,Drill,,,,I,0.03,0.0125
D,0.0087,90,Drill,,,,I,0.03,0.0125
D,0.0091,89,Drill,,,,I,0.03,0.0125
D,0.0095,88,Drill,,,,I,0.03,0.0125
D,0.01,87,Drill,,,,I,0.03,0.0125
M,0.01,,Mill,,,,I,0.03,0.0125
D,0.0105,86,Drill,,,,I,0.04,0.0125
D,0.011,85,Drill,,,,I,0.04,0.0125
D,0.0115,84,Drill,,,,I,0.04,0.0125
T,0.0118,,30-318 UNM,318,0.0083,,I,0.04,0.0125
D,0.012,83,Drill,,,,I,0.04,0.0125
D,0.0125,82,Drill,,,,I,0.04,0.0125
D,0.013,81,Drill,,,,I,0.04,0.0125
D,0.014,80,Drill,,,,I,0.05,0.0125
T,0.0138,,35-282 UNM,282,0.0096,,I,0.05,0.0125
D,0.0145,79,Drill,,,,I,0.05,0.0125
D,0.0156, 1/64 ,Drill,,,,I,0.05,0.0125
M,0.0156, 1/64 ,Mill,,,,I,0.05,0.0125
T,0.0157,,40-254 UNM,254,0.011,,I,0.05,0.0125
D,0.016,78,Drill,,,,I,0.05,0.0125
T,0.0177,,45-254 UNM,254,0.0124,,I,0.06,0.0125
D,0.018,77,Drill,,,,I,0.06,0.0125
T,0.0197,,50-203 UNM,203,0.0138,,I,0.06,0.0125
D,0.02,76,Drill,,,,I,0.06,0.0125
D,0.021,75,Drill,,,,I,0.07,0.0125
T,0.0217,,55-203 UNM,203,0.015,,I,0.07,0.0125
D,0.0225,74,Drill,,,,I,0.07,0.0125
T,0.0236,,60-169 UNM,169,0.0165,,I,0.08,0.025
D,0.024,73,Drill,,,,I,0.08,0.025
D,0.025,72,Drill,,,,I,0.08,0.025
D,0.026,71,Drill,,,,I,0.08,0.025
T,0.0276,,70-145 UNM,145,0.0197,,I,0.09,0.025
D,0.028,70,Drill,,,,I,0.09,0.025
D,0.0292,69,Drill,,,,I,0.09,0.025
D,0.031,68,Drill,,,,I,0.125,0.03125
D,0.0312, 1/32 ,Drill,,,,I,0.125,0.03125
M,0.0312, 1/32 ,Mill,,,,I,0.125,0.03125
T,0.0315,,80-127 UNM,127,0.022,,I,0.125,0.03125
D,0.032,67,Drill,,,,I,0.125,0.03125
D,0.033,66,Drill,,,,I,0.125,0.03125
D,0.035,65,Drill,,,,I,0.125,0.03125
M,0.035,,Mill,,,,I,0.125,0.03125
T,0.0354,,90-113 UNM,113,0.0248,,I,0.125,0.03125
D,0.036,64,Drill,,,,I,0.125,0.03125
D,0.037,63,Drill,,,,I,0.125,0.03125
D,0.038,62,Drill,,,,I,0.125,0.03125
D,0.039,61,Drill,,,,I,0.125,0.03125
T,0.0394,,100-102 UNM,102,0.0276,,I,0.125,0.03125
D,0.04,60,Drill,,,,I,0.125,0.03125
D,0.041,59,Drill,,,,I,0.125,0.03125
D,0.042,58,Drill,,,,I,0.125,0.03125
D,0.043,57,Drill,,,,I,0.125,0.03125
T,0.0433,,110-102 UNM,102,0.0315,,I,0.125,0.03125
D,0.0456,56,Drill,,,,I,0.125,0.03125
D,0.0469, 3/64 ,Drill,,,,I,0.125,0.03125
M,0.0469, 3/64 ,Mill,,,,I,0.125,0.03125
T,0.0472,,120-102 UNM,102,0.0354,,I,0.125,0.03125
D,0.052,55,Drill,,,,I,0.125,0.03125
D,0.055,54,Drill,,,,I,0.125,0.03125
T,0.0551,,140-85 UNM,85,0.0386,,I,0.125,0.03125
D,0.0595,53,Drill,,,,I,0.125,0.03125
T,0.06,  (#0) ,0-80 UNF,80,0.0469,,I,0.125,0.03125
T,0.06,  (#0) ,0-72 UNF,72,0.0465,,I,0.125,0.03125
D,0.0625, 1/16 ,Drill,,,,I,0.25,0.0625
M,0.0625, 1/16 ,Mill,,,,I,0.25,0.0625
D,0.0635,52,Drill,,,,I,0.25,0.0625
D,0.067,51,Drill,,,,I,0.25,0.0625
D,0.07,50,Drill,,,,I,0.25,0.0625
D,0.073,49,Drill,,,,I,0.25,0.0625
T,0.073,  (#1) ,1-64 UNC,64,0.0595,,I,0.25,0.0625
T,0.073,  (#1) ,1-72 UNF,72,0.0595,,I,0.25,0.0625
D,0.076,48,Drill,,,,I,0.25,0.0625
D,0.0781, 5/64 ,Drill,,,,I,0.25,0.0625
M,0.0781, 5/64 ,Mill,,,,I,0.25,0.0625
D,0.0785,47,Drill,,,,I,0.25,0.0625
D,0.081,46,Drill,,,,I,0.25,0.0625
D,0.082,45,Drill,,,,I,0.25,0.0625
D,0.086,44,Drill,,,,I,0.25,0.0625
T,0.086,  (#2) ,2-56 UNC,56,0.07,,I,0.25,0.0625
T,0.086,  (#2) ,2-64 UNF,64,0.07,,I,0.25,0.0625
D,0.089,43,Drill,,,,I,0.25,0.0625
D,0.0935,42,Drill,,,,I,0.25,0.0625
D,0.0938, 3/32 ,Drill,,,,I,0.25,0.0625
D,0.096,41,Drill,,,,I,0.25,0.0625
D,0.098,40,Drill,,,,I,0.25,0.0625
T,0.099,  (#3) ,3-48 UNC,48,0.0785,,I,0.25,0.0625
T,0.099,  (#3) ,3-56 UNF,56,0.082,,I,0.25,0.0625
D,0.0995,39,Drill,,,,I,0.25,0.0625
D,0.1015,38,Drill,,,,I,0.25,0.0625
D,0.104,37,Drill,,,,I,0.25,0.0625
D,0.1065,36,Drill,,,,I,0.375,0.125
D,0.1094, 7/64 ,Drill,,,,I,0.375,0.125
M,0.1094, 7/64 ,Mill,,,,I,0.375,0.125
D,0.11,35,Drill,,,,I,0.375,0.125
D,0.111,34,Drill,,,,I,0.375,0.125
T,0.112,  (#4) ,4-40 UNC,40,0.089,,I,0.375,0.125
T,0.112,  (#4) ,4-48 UNF,48,0.0935,,I,0.375,0.125
T,0.125,  (#5) ,5-40 UNC,40,0.1015,,I,0.375,0.125
T,0.125,  (#5) ,5-44 UNF,44,0.104,,I,0.375,0.125
D,0.113,33,Drill,,,,I,0.375,0.125
T,0.138,  (#6) ,6-32 UNC,32,0.1065,,I,0.375,0.125
T,0.138,  (#6) ,6-40 UNF,40,0.113,,I,0.375,0.125
D,0.116,32,Drill,,,,I,0.375,0.125
D,0.12,31,Drill,,,,I,0.375,0.125
D,0.125, 1/8 ,Drill,,,,I,0.375,0.125
M,0.125, 1/8 ,Mill,,,,I,0.375,0.125
R,0.125, 1/8 ,Reamer,,0.11,,I,0.375,0.125
CS,0.125, 1/8 ,Countersink,,,,I,0.375,0.125
D,0.1285,30,Drill,,,,I,0.375,0.125
D,0.136,29,Drill,,,,I,0.375,0.125
D,0.1405,28,Drill,,,,I,0.375,0.125
D,0.144,27,Drill,,,,I,0.375,0.125
D,0.147,26,Drill,,,,I,0.5,0.125
D,0.1495,25,Drill,,,,I,0.5,0.125
D,0.152,24,Drill,,,,I,0.5,0.125
D,0.154,23,Drill,,,,I,0.5,0.125
D,0.1562, 5/32 ,Drill,,,,I,0.5,0.125
M,0.1562, 5/32 ,Mill,,,,I,0.5,0.125
T,0.164,  (#8) ,8-32 UNC,32,0.136,,I,0.5,0.125
T,0.164,  (#8) ,8-36 UNF,36,0.136,,I,0.5,0.125
D,0.157,22,Drill,,,,I,0.5,0.125
D,0.159,21,Drill,,,,I,0.5,0.125
D,0.161,20,Drill,,,,I,0.5,0.125
D,0.166,19,Drill,,,,I,0.5,0.125
D,0.1695,18,Drill,,,,I,0.5,0.125
D,0.1719, 11/64 ,Drill,,,,I,0.5,0.125
M,0.1719, 11/64 ,Mill,,,,I,0.5,0.125
D,0.173,17,Drill,,,,I,0.5,0.125
D,0.177,16,Drill,,,,I,0.5,0.125
D,0.18,15,Drill,,,,I,0.5,0.125
D,0.182,14,Drill,,,,I,0.5,0.125
D,0.185,13,Drill,,,,I,0.5,0.125
D,0.1875, 3/16 ,Drill,,,,I,0.625,0.125
M,0.1875, 3/16 ,Mill,,,,I,0.625,0.125
R,0.1875, 3/16 ,Reamer,,0.173,,I,0.625,0.125
D,0.189,12,Drill,,,,I,0.625,0.125
T,0.19,  (#10) ,10-24 UNC,24,0.1495,,I,0.625,0.125
T,0.19,  (#10) ,10-28 UNS,28,0.152,,I,0.625,0.125
T,0.19,  (#10) ,10-32 UNF,32,0.159,,I,0.625,0.125
T,0.19,  (#10) ,10-36 UNS,36,0.159,,I,0.625,0.125
T,0.19,  (#10) ,10-40 UNS,40,0.161,,I,0.625,0.125
T,0.19,  (#10) ,10-48 UNS,48,0.166,,I,0.625,0.125
T,0.19,  (#10) ,10-56 UNS,56,0.1695,,I,0.625,0.125
D,0.191,11,Drill,,,,I,0.625,0.125
D,0.1935,10,Drill,,,,I,0.625,0.125
D,0.196,9,Drill,,,,I,0.625,0.125
D,0.199,8,Drill,,,,I,0.625,0.125
D,0.201,7,Drill,,,,I,0.625,0.125
D,0.2031, 13/64 ,Drill,,,,I,0.625,0.125
M,0.2031, 13/64 ,Mill,,,,I,0.625,0.125
D,0.204,6,Drill,,,,I,0.625,0.125
D,0.2055,5,Drill,,,,I,0.625,0.125
D,0.209,4,Drill,,,,I,0.625,0.125
D,0.213,3,Drill,,,,I,0.625,0.125
T,0.216,  (#12) ,12-24 UNC,24,0.177,,I,0.625,0.125
T,0.216,  (#12) ,12-28 UNF,28,0.182,,I,0.625,0.125
T,0.216,  (#12) ,12-32 UNEF,32,0.18,,I,0.625,0.125
T,0.216,  (#12) ,12-36 UNS,36,0.189,,I,0.625,0.125
T,0.216,  (#12) ,12-40 UNS,40,0.191,,I,0.625,0.125
T,0.216,  (#12) ,12-48 UNS,48,0.196,,I,0.625,0.125
T,0.216,  (#12) ,12-56 UNS,56,0.196,,I,0.625,0.125
D,0.2188, 7/32 ,Drill,,,,I,0.625,0.125
M,0.2188, 7/32 ,Mill,,,,I,0.625,0.125
D,0.221,2,Drill,,,,I,0.625,0.125
D,0.228,1,Drill,,,,I,0.625,0.125
D,0.234,A,Drill,,,,I,0.75,0.125
D,0.2344, 15/64 ,Drill,,,,I,0.75,0.125
M,0.2344, 15/64 ,Mill,,,,I,0.75,0.125
D,0.238,B,Drill,,,,I,0.75,0.125
D,0.242,C,Drill,,,,I,0.75,0.125
D,0.246,D,Drill,,,,I,0.75,0.125
D,0.25,E,Drill,,,,I,0.75,0.125
D,0.25, 1/4 ,Drill,,,,I,0.75,0.125
M,0.25, 1/4 ,Mill,,0.3125,,I,0.75,0.125
R,0.25, 1/4 ,Reamer,,0.2344,,I,0.75,0.125
CS,0.25, 1/4 ,Countersink,,,,I,0.75,0.125
T,0.25,,1/4-20 UNC,20,0.201,,I,0.75,0.125
T,0.25,,1/4-24 UNS,24,0.209,,I,0.75,0.125
T,0.25,,1/4-27 UNS,27,0.213,,I,0.75,0.125
T,0.25,,1/4-28 UNF,28,0.213,,I,0.75,0.125
T,0.25,,1/4-32 UNEF,32,0.2187,,I,0.75,0.125
T,0.25,,1/4-36 UNS,36,0.221,,I,0.75,0.125
T,0.25,,1/4-40 UNS,40,0.228,,I,0.75,0.125
T,0.25,,1/4-48 UNS,48,0.228,,I,0.75,0.125
T,0.25,,1/4-56 UNS,56,0.234,,I,0.75,0.125
D,0.257,F,Drill,,,,I,0.75,0.125
D,0.261,G,Drill,,,,I,0.75,0.125
D,0.2656, 17/64 ,Drill,,,,I,0.75,0.125
M,0.2656, 17/64 ,Mill,,0.3125,,I,0.75,0.125
D,0.266,H,Drill,,,,I,0.75,0.125
D,0.272,I,Drill,,,,I,0.875,0.125
D,0.277,J,Drill,,,,I,0.875,0.125
D,0.281,K,Drill,,,,I,0.875,0.125
D,0.2812, 9/32 ,Drill,,,,I,0.875,0.125
M,0.2812, 9/32 ,Mill,,0.3125,,I,0.875,0.125
D,0.29,L,Drill,,,,I,0.875,0.125
D,0.295,M,Drill,,,,I,0.875,0.125
D,0.2969, 19/64 ,Drill,,,,I,0.875,0.125
M,0.2969, 19/64 ,Mill,,0.3125,,I,0.875,0.125
D,0.302,N,Drill,,,,I,0.875,0.125
D,0.3125, 5/16 ,Drill,,,,I,1,0.25
M,0.3125, 5/16 ,Mill,,0.375,,I,1,0.25
R,0.3125, 5/16 ,Reamer,,0.2969,,I,1,0.25
T,0.3125,,5/16-18 UNC,18,0.257,,I,1,0.25
T,0.3125,,5/16-20 UN,20,0.2656,,I,1,0.25
T,0.3125,,5/16-24 UNF,24,0.272,,I,1,0.25
T,0.3125,,5/16-27 UNS,27,0.277,,I,1,0.25
T,0.3125,,5/16-28 UN,28,0.277,,I,1,0.25
T,0.3125,,5/16-32 UNEF,32,0.2812,,I,1,0.25
T,0.3125,,5/16-36 UNS,36,0.2812,,I,1,0.25
T,0.3125,,5/16-40 UNS,40,0.29,,I,1,0.25
T,0.3125,,5/16-48 UNS,48,0.29,,I,1,0.25
D,0.316,O,Drill,,,,I,1,0.25
D,0.322,P,Drill,,,,I,1,0.25
D,0.3281, 21/64 ,Drill,,,,I,1,0.25
D,0.332,Q,Drill,,,,I,1,0.25
D,0.339,R,Drill,,,,I,1,0.25
D,0.3438, 11/32 ,Drill,,,,I,1,0.25
M,0.3438, 11/32 ,Mill,,0.375,,I,1,0.25
D,0.348,S,Drill,,,,I,1,0.25
D,0.358,T,Drill,,,,I,1.125,0.25
D,0.3594, 23/64 ,Drill,,,,I,1.125,0.25
M,0.3594, 23/64 ,Mill,,0.375,,I,1.125,0.25
D,0.368,U,Drill,,,,I,1.125,0.25
D,0.375, 3/8 ,Drill,,,,I,1.125,0.25
M,0.375, 3/8 ,Mill,,0.4375,,I,1.125,0.25
CS,0.375, 3/8 ,Countersink,,,,I,1.125,0.25
T,0.375,,3/8-16 UNC,16,0.3125,,I,1.125,0.25
T,0.375,,3/8-18 UNS,18,0.316,,I,1.125,0.25
T,0.375,,3/8-20 UN,20,0.3281,,I,1.125,0.25
T,0.375,,3/8-24 UNF,24,0.332,,I,1.125,0.25
T,0.375,,3/8-27 UNS,27,0.339,,I,1.125,0.25
T,0.375,,3/8-28 UN,28,0.339,,I,1.125,0.25
T,0.375,,3/8-32 UNEF,32,0.348,,I,1.125,0.25
T,0.375,,3/8-36 UNS,36,0.348,,I,1.125,0.25
T,0.375,,3/8-40 UNS,40,0.348,,I,1.125,0.25
D,0.377,V,Drill,,,,I,1.125,0.25
D,0.386,W,Drill,,,,I,1.125,0.25
T,0.39,,0.390-27 UNS,27,0.348,,I,1.125,0.25
D,0.3906, 25/64 ,Drill,,,,I,1.125,0.25
M,0.3906, 25/64 ,Mill,,0.4375,,I,1.125,0.25
D,0.397,X,Drill,,,,I,1.25,0.25
D,0.404,Y,Drill,,,,I,1.25,0.25
D,0.4062, 13/32 ,Drill,,,,I,1.25,0.25
M,0.4062, 13/32 ,Mill,,0.4375,,I,1.25,0.25
D,0.413,Z,Drill,,,,I,1.25,0.25
D,0.4219, 27/64 ,Drill,,,,I,1.25,0.25
M,0.4219, 27/64 ,Mill,,0.4375,,I,1.25,0.25
D,0.4375, 7/16 ,Drill,,,,I,1.375,0.25
M,0.4375, 7/16 ,Mill,,0.5,,I,1.375,0.25
R,0.4375, 7/16 ,Reamer,,0.4219,,I,1.375,0.25
T,0.4375,,7/16-14 UNC,14,0.368,,I,1.375,0.25
T,0.4375,,7/16-16 UN,16,0.377,,I,1.375,0.25
T,0.4375,,7/16-18 UNS,18,0.386,,I,1.375,0.25
T,0.4375,,7/16-20 UNF,20,0.3906,,I,1.375,0.25
T,0.4375,,7/16-24 UNS,24,0.397,,I,1.375,0.25
T,0.4375,,7/16-27 UNS,27,0.404,,I,1.375,0.25
T,0.4375,,7/16-28 UNEF,28,0.404,,I,1.375,0.25
T,0.4375,,7/16-32 UN,32,0.404,,I,1.375,0.25
D,0.4531, 29/64 ,Drill,,,,I,1.375,0.25
M,0.4531, 29/64 ,Mill,,0.5,,I,1.375,0.25
D,0.4688, 15/32 ,Drill,,,,I,1.375,0.25
M,0.4688, 15/32 ,Mill,,0.5,,I,1.375,0.25
D,0.4844, 31/64 ,Drill,,,,I,1.5,0.25
M,0.4844, 31/64 ,Mill,,0.5,,I,1.5,0.25
D,0.5, 1/2 ,Drill,,,,I,1.5,0.25
M,0.5, 1/2 ,Mill,,0.5625,,I,1.5,0.25
R,0.5, 1/2 ,Reamer,,0.4844,,I,1.5,0.25
CS,0.5, 1/2 ,Countersink,,,,I,1.5,0.25
T,0.5,,1/2-13 UNC,13,0.4219,,I,1.5,0.25
T,0.5,,1/2-12 UNS,12,0.4219,,I,1.5,0.25
T,0.5,,1/2-14 UNS,14,0.4219,,I,1.5,0.25
T,0.5,,1/2-16 UN,16,0.4375,,I,1.5,0.25
T,0.5,,1/2-18 UNS,18,0.4375,,I,1.5,0.25
T,0.5,,1/2-20 UNF,20,0.4531,,I,1.5,0.25
T,0.5,,1/2-24 UNS,24,0.4531,,I,1.5,0.25
T,0.5,,1/2-27 UNS,27,0.4687,,I,1.5,0.25
T,0.5,,1/2-28 UNEF,28,0.4687,,I,1.5,0.25
T,0.5,,1/2-32 UN,32,0.4687,,I,1.5,0.25
D,0.5156, 33/64 ,Drill,,,,I,1.5,0.25
D,0.5312, 17/32 ,Drill,,,,I,1.625,0.25
D,0.5469, 35/64 ,Drill,,,,I,1.625,0.25
D,0.5625, 9/16 ,Drill,,,,I,1.75,0.25
M,0.5625, 9/16 ,Mill,,0.625,,I,1.75,0.25
R,0.5625, 9/16 ,Reamer,,0.5469,,I,1.75,0.25
T,0.5625,,9/16-12 UNC,12,0.4844,,I,1.75,0.25
T,0.5625,,9/16-14 UNS,14,0.4844,,I,1.75,0.25
T,0.5625,,9/16-16 UN,16,0.5,,I,1.75,0.25
T,0.5625,,9/16-18 UNF,18,0.5156,,I,1.75,0.25
T,0.5625,,9/16-20 UN,20,0.5156,,I,1.75,0.25
T,0.5625,,9/16-24 UNEF,24,0.5156,,I,1.75,0.25
T,0.5625,,9/16-27 UNS,27,0.5312,,I,1.75,0.25
T,0.5625,,9/16-28 UN,28,0.5312,,I,1.75,0.25
T,0.5625,,9/16-32 UN,32,0.5312,,I,1.75,0.25
D,0.5781, 37/64 ,Drill,,,,I,1.75,0.25
D,0.5938, 19/32 ,Drill,,,,I,1.75,0.25
D,0.6094, 39/64 ,Drill,,,,I,1.875,0.25
D,0.625, 5/8 ,Drill,,,,I,1.875,0.25
M,0.625, 5/8 ,Mill,,0.75,,I,1.875,0.25
R,0.625, 5/8 ,Reamer,,0.6094,,I,1.875,0.25
CS,0.625, 5/8 ,Countersink,,,,I,1.875,0.25
T,0.625,,5/8-11 UNC,11,0.5312,,I,1.875,0.25
T,0.625,,5/8-12 UN,12,0.5469,,I,1.875,0.25
T,0.625,,5/8-14 UNS,14,0.5469,,I,1.875,0.25
T,0.625,,5/8-16 UN,16,0.5625,,I,1.875,0.25
T,0.625,,5/8-18 UNF,18,0.5781,,I,1.875,0.25
T,0.625,,5/8-20 UN,20,0.5781,,I,1.875,0.25
T,0.625,,5/8-24 UNEF,24,0.5781,,I,1.875,0.25
